experiment,stage,data_type,layer,minimum,maximum,maximum_abs,smallest_nonzero,zero_percent,observed_min_spacing,dynamic_range,FP16_range_ok,FP16_result,FP8_E4M3_range_ok,FP8_E4M3_result,FP8_E5M2_range_ok,FP8_E5M2_result,INT8_scale,INT8_quantization_step,INT8_zero_threshold,INT8_smallest_may_be_lost,INT8_result,INT16_scale,INT16_quantization_step,INT16_zero_threshold,INT16_smallest_may_be_lost,INT16_result
MobileNetV2_CIFAR100,inference,weights,features.3.conv.3.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.4.conv.0.0.weight,-0.438869446516037,0.4634110629558563,0.4634110629558563,2.804888026730623e-06,0.0,2.9802322387695312e-08,165215.5303668247,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0036489060075264278,0.0036489060075264278,0.0018244530037632139,True,SMALL VALUES MAY BE LOST,1.4142614916100233e-05,1.4142614916100233e-05,7.0713074580501165e-06,True,SMALL VALUES MAY BE LOST
MobileNetV2_CIFAR100,inference,weights,features.4.conv.0.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.4.conv.1.0.weight,-0.1354103833436966,0.1397349238395691,0.1397349238395691,8.358942068298347e-06,0.0,8.009374141693115e-08,16716.819269452757,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0011002749908627487,0.0011002749908627487,0.0005501374954313743,True,SMALL VALUES MAY BE LOST,4.264501597325635e-06,4.264501597325635e-06,2.1322507986628176e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.4.conv.1.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.4.conv.2.weight,-1.15995192527771,0.8300068378448486,1.15995192527771,1.7679485608823595e-06,0.0,5.960464477539064e-08,656100.494631356,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.00913347972659614,0.00913347972659614,0.00456673986329807,True,SMALL VALUES MAY BE LOST,3.5400003823288975e-05,3.5400003823288975e-05,1.7700001911644488e-05,True,SMALL VALUES MAY BE LOST
MobileNetV2_CIFAR100,inference,weights,features.4.conv.3.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.5.conv.0.0.weight,-0.3494040071964264,0.4050940573215484,0.4050940573215484,2.1430108972708695e-05,0.0,2.2351741790771484e-08,18903.033010118466,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0031897169867838456,0.0031897169867838456,0.0015948584933919228,True,SMALL VALUES MAY BE LOST,1.2362866827037825e-05,1.2362866827037825e-05,6.1814334135189125e-06,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.5.conv.0.1.weight,1.0,1.0,1.0,1.0,0.0,0.0,1.0,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.007874015748031496,0.007874015748031496,0.003937007874015748,False,RANGE/STEP APPEARS ADEQUATE,3.051850947599719e-05,3.051850947599719e-05,1.5259254737998596e-05,False,RANGE/STEP APPEARS ADEQUATE
MobileNetV2_CIFAR100,inference,weights,features.5.conv.1.0.weight,-0.1092004776000976,0.1156715303659439,0.1156715303659439,4.394061033963226e-05,0.0,1.4901161193847656e-08,2632.451608475131,True,RANGE ADEQUATE,True,RANGE ADEQUATE,True,RANGE ADEQUATE,0.0009107994517003456,0.0009107994517003456,0.0004553997258501728,True,SMALL VALUES MAY BE LOST,3.5301226955761558e-06,3.5301226955761558e-06,1.7650613477880779e-06,False,RANGE/STEP APPEARS ADEQUATE
